,Mean Pitch,Max Pitch,Mean Intensity,Max Intensity,Jitter,Shimmer,NHR,dyad,speaker,session,sentence,duration(s),size(K),file_name
5209,85.0977511,333.3966755,67.20037438,82.22011168,0.017856957,0.060752755,16.9081952,6566,66,solo,19,7.35,632.78,SK0506_6_solo555_19_mono.wav
5210,109.0351809,581.2825863,70.04981818,78.63839531,0.021834965,0.064508181,14.6082965,6566,66,solo,1,5.72,492.81,SK0506_6_solo555_1_mono.wav
5211,87.89816778,318.7789775,67.52383289,79.84296133,0.015880373,0.069384035,15.8355516,6566,66,solo,20,5.77,497.46,SK0506_6_solo555_20_mono.wav
5212,88.93994614,326.3385586,71.92040246,86.99655544,0.021092448,0.074805546,15.8431362,6566,66,solo,21,4.5,388.07,SK0506_6_solo555_21_mono.wav
5213,65.44926975,332.1339751,67.16935723,81.06759165,0.027032463,0.069339636,15.8327946,6566,66,solo,22,4.7,404.7,SK0506_6_solo555_22_mono.wav
5214,102.0469392,356.2585561,70.44734656,81.11761668,0.01567432,0.056007054,16.3768565,6566,66,solo,23,8.84,761.2,SK0506_6_solo555_23_mono.wav
5215,97.92292738,325.519674,66.77295075,81.22189141,0.016966157,0.056391183,18.4282346,6566,66,solo,24,6.9,594.02,SK0506_6_solo555_24_mono.wav
5216,89.3616759,578.7341996,66.28143992,75.77521626,0.017369357,0.051895213,15.543635,6566,66,solo,25,6.47,556.98,SK0506_6_solo555_25_mono.wav
5217,108.210467,353.1052963,72.08985388,87.10027251,0.015914516,0.060628825,18.1646226,6566,66,solo,26,7.31,629.67,SK0506_6_solo555_26_mono.wav
5218,90.83783894,348.8686836,69.76627149,85.5972811,0.014397475,0.074821125,19.2627469,6566,66,solo,27,8.96,771.62,SK0506_6_solo555_27_mono.wav
5219,75.04159923,312.8889567,70.81621452,88.70861869,0.021218656,0.073239665,15.9410792,6566,66,solo,28,7.11,612.36,SK0506_6_solo555_28_mono.wav
5220,78.8949998,329.2075316,67.18509266,76.68322761,0.020082261,0.067365358,10.7596264,6566,66,solo,29,5.21,448.97,SK0506_6_solo555_29_mono.wav
5221,94.91807162,298.3265245,70.25633313,78.41642168,0.017119539,0.052339719,13.7941877,6566,66,solo,2,5.6,482.21,SK0506_6_solo555_2_mono.wav
5222,89.39782677,330.1310821,67.42596194,80.35034468,0.021257435,0.067827827,12.8164404,6566,66,solo,30,6.74,580.32,SK0506_6_solo555_30_mono.wav
5223,85.21283181,590.0809543,71.56661126,87.01294716,0.019138946,0.060039555,16.1056166,6566,66,solo,31,8.2,706.59,SK0506_6_solo555_31_mono.wav
5224,104.8695628,299.886182,70.06274988,81.91158128,0.015636233,0.056184999,19.753185,6566,66,solo,32,5.42,467.23,SK0506_6_solo555_32_mono.wav
5225,118.7292995,586.0461117,66.79791198,77.44612855,0.014296381,0.058128253,15.6491321,6566,66,solo,33,7.62,656.03,SK0506_6_solo555_33_mono.wav
5226,71.80510295,352.5585274,67.15959998,84.50287286,0.013135303,0.055685623,18.7953697,6566,66,solo,34,5.86,505.13,SK0506_6_solo555_34_mono.wav
5227,96.20350281,347.3299086,69.68043749,84.97580871,0.015650777,0.053940489,20.7302668,6566,66,solo,35,7.04,606.59,SK0506_6_solo555_35_mono.wav
5228,78.25617405,330.2608277,67.45492278,80.31439231,0.013718418,0.05435318,16.6620695,6566,66,solo,36,10.39,894.53,SK0506_6_solo555_36_mono.wav
